Employer,Title,City,Job ID,Time Posted,Job Board,Lat,Lng,CityCount
FleetPride,Product Owner - Search,"Irving, TX 75039 (Las Colinas Urban Center area)",jl_3521fcb9d8ced07a,Today,Indeed.com,32.8686206,-96.9335904,1
CBRE,Capital Markets Manager,"Dallas, TX",jl_0bb45f5a0bf768d7,Today,Indeed.com,32.7762719,-96.7968559,34
Splunk,Customer Success Operations Business Analyst,"Plano, TX 75023",jl_d0c606a2c0cbb7cb,Today,Indeed.com,33.0136764,-96.6925096,1
"JPMorgan Chase Bank, N.A.",Treasury Sales Associate - Corporate Client Banking,"Dallas, TX",jl_20b8d502dfd08f3f,Today,Indeed.com,32.7762719,-96.7968559,34
"JPMorgan Chase Bank, N.A.",Risk Reporting Control Management Associate,"Plano, TX",jl_6745a1f206fbd227,Today,Indeed.com,33.0136764,-96.6925096,12
PennyMac,Underwriting Manager,"Plano, TX 75075",jl_51635b7e776e982c,Today,Indeed.com,33.0136764,-96.6925096,1
Builders FirstSource,IT Business Analyst II IT-Service Management,"Dallas, TX 75201 (City Center District area)",jl_c895df232900a77c,Today,Indeed.com,,,1
EnLink Midstream,Commercial Risk Manager,"Dallas, TX 75201 (Arts District area)",jl_888f8dd79c17a02f,Today,Indeed.com,,,1
Citi,DB Marketing Sr Analyst,"Irving, TX 75062 (Northwest area)",jl_a5fb197fe19875c0,Today,Indeed.com,32.860545,-96.91515431654948,2
"Perficient, Inc",Technical Sales Specialist - Texas,"Plano, TX 75024",jl_68b3a6f3bb226e66,Today,Indeed.com,33.0136764,-96.6925096,4
Bed Bath & Beyond,ECommerce Industrial Engineer,"Lewisville, TX 75067",jl_aa3ca0ba1a21b822,Today,Indeed.com,33.046233,-96.994174,1
"JPMorgan Chase Bank, N.A.",Business Analyst - Identity & Access Management,"Plano, TX",jl_63863aedf3979ee2,Today,Indeed.com,33.0136764,-96.6925096,12
Infosys Limited,Automation Test Lead,"Plano, TX",jl_b23d3366ca155416,Today,Indeed.com,33.0136764,-96.6925096,12
"AccentCare, Inc.®",Senior Business Systems Analyst -Configuration Management,"Dallas, TX 75287 (Far North area)",jl_5713cc28dcd72ef0,Today,Indeed.com,,,1
Siemens,(Senior) Audit Associate - Business Modeling,"Plano, TX 75024",jl_0475d92cc27bf90d,Today,Indeed.com,33.0136764,-96.6925096,4
DFA Dairy Brands,IT Business Analyst II,"Dallas, TX 75204",jl_92738ca5b606d0eb,Today,Indeed.com,32.7762719,-96.7968559,1
"JPMorgan Chase Bank, N.A.",CB - ABL Credit Markets Syndications - Vice President,"Dallas, TX",jl_8f2f722404cd714d,Today,Indeed.com,32.7762719,-96.7968559,34
Siemens,(Senior) Audit Associate - Software,"Plano, TX 75024",jl_26db01f6badbde50,Today,Indeed.com,33.0136764,-96.6925096,4
Siemens,(Senior) Audit Associate – Software Finance,"Dallas, TX",jl_565d5de34fbff778,Today,Indeed.com,32.7762719,-96.7968559,34
University of Texas at Arlington,Assistant Professor – Multi-Interprofessional Center for Hea...,"Arlington, TX 76013 (Central area)",jl_8e750666fb488ce6,Today,Indeed.com,32.7332611,-97.14394283023002,2
Cascade Financial Services,DE Underwriter,"Dallas, TX",jl_5e96505fb3063dfb,Today,Indeed.com,32.7762719,-96.7968559,34
Finastra,Senior Product/Business Analyst (Commercial Lending),"Plano, TX 75093",jl_55ad9e6a5a7345c8,Today,Indeed.com,33.0136764,-96.6925096,1
Williston Financial Group,Agency Data Management Analyst,"Plano, TX",jl_336a621e8de00ad5,1 day ago,Indeed.com,33.0136764,-96.6925096,12
"Blue Cross Blue Shield of IL, MT, NM, OK & TX",Analytics & Reporting Consultant,"Richardson, TX",jl_47de43cd739ab7c1,1 day ago,Indeed.com,32.9481789,-96.7297206,3
Citi,Data Analytics Lead Analyst,"Irving, TX 75062 (Northwest area)",jl_a5ea0be2badf1cd2,1 day ago,Indeed.com,32.860545,-96.91515431654948,2
Amazon.com Services LLC,CMMS Admin,"Wilmer, TX",jl_7fc64c022b4e938d,1 day ago,Indeed.com,32.5890243,-96.6852724,1
Reap Commerce,E-Commerce Strategist,"Dallas, TX",jl_ea1112c3b26d1205,1 day ago,Indeed.com,32.7762719,-96.7968559,34
Gee Consultants,Project Engineers,"Dallas, TX (Preston Hollow area)",jl_ade7a4e8082053eb,1 day ago,Indeed.com,32.88068695,-96.79717517352759,1
Gainwell Technologies,Developer Analyst I - Healthcare,"Irving, TX 75038 (Cottonwood area)",jl_265c0051c2917f68,1 day ago,Indeed.com,32.8637032,-96.9760541,1
vedainfo,Mortgage Underwriter,"Dallas, TX",jl_5e094b40fd18ab22,1 day ago,Indeed.com,32.7762719,-96.7968559,34
Vix Technology UK Limited,Financial Analyst - DART,"Dallas, TX",jl_38014bb639ee42c5,1 day ago,Indeed.com,32.7762719,-96.7968559,34
Totally Joined For Achieving Collab,"Data Analyst - Dallas, TX","Dallas, TX 75201",jl_dd91467517a496bb,1 day ago,Indeed.com,32.7762719,-96.7968559,2
"JPMorgan Chase Bank, N.A.",Caliber Business Analyst,"Plano, TX",jl_bbf7317e88825f99,1 day ago,Indeed.com,33.0136764,-96.6925096,12
Glassdoor,Sr. Manager Learning & Development,"Dallas, TX 75234",jl_2d5a401c444150a2,1 day ago,Indeed.com,32.7762719,-96.7968559,1
Dallas County Community College District,Managing Director - Budget Coordination,"Dallas, TX",jl_d9807b46381ae2d2,1 day ago,Indeed.com,32.7762719,-96.7968559,34
Omni Hotels & Resorts,Financial Reporting Analyst,"Dallas, TX 75219 (Oak Lawn area)",jl_702c0067191e741c,1 day ago,Indeed.com,32.809111,-96.8089492,1
UnitedHealth Group,Training Consultant - US Remote,"Dallas, TX 75202 (City Center District area)",jl_581ff6604f591a31,1 day ago,Indeed.com,,,1
Neiman Marcus Group,"Analyst, Reporting & Analysis","Dallas, TX",2478293999,2021-03-26,LinkedIn.com,32.7762719,-96.7968559,34
Microsoft,Business Analytics Specialist,"Dallas, TX",2486220085,2021-04-13,LinkedIn.com,32.7762719,-96.7968559,34
Sophos,Data Analyst-Consumer,Dallas-Fort Worth,2460107774,2021-04-15,LinkedIn.com,32.760525,-97.234797,3
Collabera Inc.,Data Analyst,"Dallas, TX",2501847466,2021-04-13,LinkedIn.com,32.7762719,-96.7968559,34
"The Michaels Companies, Inc.",Data Science Analyst,"Irving, TX",2482682493,2021-03-31,LinkedIn.com,32.8295183,-96.9442177,7
LP Analyst,Business Intelligence / Data Visualization Analyst,"Dallas, TX",2505230763,2021-04-15,LinkedIn.com,32.7762719,-96.7968559,34
Health IQ,Data Analyst,"Dallas, TX",2504689751,2021-04-15,LinkedIn.com,32.7762719,-96.7968559,34
Associa,Data Analyst,"Richardson, TX",2479921191,2021-04-07,LinkedIn.com,32.9481789,-96.7297206,3
LSEG (London Stock Exchange Group),Jr. Data Analyst,"Allen, TX",2457162595,2021-03-19,LinkedIn.com,33.1031744,-96.6705503,1
PLUM Commercial Real Estate Lending,Data Analyst US Remote,"Dallas, TX",2505967382,2021-04-16,LinkedIn.com,32.7762719,-96.7968559,34
Robert Half,Data Analyst,"Dallas, TX",2505887433,2021-04-16,LinkedIn.com,32.7762719,-96.7968559,34
CBRE,"Data Analyst, Remote","Dallas, TX",2495441790,2021-04-08,LinkedIn.com,32.7762719,-96.7968559,34
"Motiv, an Infogain company ",Data Analyst,Dallas-Fort Worth,2482238428,2021-04-14,LinkedIn.com,32.760525,-97.234797,3
Abbott,Data Analyst,"Irving, TX",2458245538,2021-03-19,LinkedIn.com,32.8295183,-96.9442177,7
Sedgwick,Data Analyst,"Dallas, TX",2477998713,2021-04-13,LinkedIn.com,32.7762719,-96.7968559,34
Parkland Hospital,Data Analyst,"Dallas, TX",2487391448,2021-04-03,LinkedIn.com,32.7762719,-96.7968559,34
Peloton Interactive,"Data Analyst, Member Experience","Plano, TX",2444403255,2021-04-17,LinkedIn.com,33.0136764,-96.6925096,12
Gartner,Associate Data Analyst,"Irving, TX",2474698023,2021-04-10,LinkedIn.com,32.8295183,-96.9442177,7
U.S. Bank,Insights & Reporting Analyst - Telecommute,"Dallas, TX",2505165394,2021-04-08,LinkedIn.com,32.7762719,-96.7968559,34
Verizon,Data Visualization Engineer,"Irving, TX",2501453476,2021-04-13,LinkedIn.com,32.8295183,-96.9442177,7
"Aperia Solutions, Inc.",Junior Business Analyst,"Dallas, TX",2507663474,2021-04-17,LinkedIn.com,32.7762719,-96.7968559,34
Executive Touch,Data Entry Analyst,"Dallas, TX",2508393609,2021-04-17,LinkedIn.com,32.7762719,-96.7968559,34
Techywhiz,Data Analyst,"Inwood, TX",2508390609,2021-04-17,LinkedIn.com,32.9306799,-96.8216683,1
Microsoft,Business Analytics Specialist,"Irving, TX",2486211968,2021-04-13,LinkedIn.com,32.8295183,-96.9442177,7
PICKUP,Data Analyst,"Plano, TX",2503292736,2021-04-14,LinkedIn.com,33.0136764,-96.6925096,12
GuideWell,Data Analyst,"Irving, TX",2461145654,2021-03-25,LinkedIn.com,32.8295183,-96.9442177,7
"Ryder System, Inc.",Data Analyst,"Dallas, TX",2484325041,2021-03-30,LinkedIn.com,32.7762719,-96.7968559,34
Parker and Lynch,Data Analyst,Dallas-Fort Worth,2495210777,2021-04-08,LinkedIn.com,32.760525,-97.234797,3
